abilities,number of ability,against,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,basic,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Chlorophyll']",2,,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,318,49,5120,70,318,45,Seed Pokémon,49,1059860,0.7,45,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0
"['Overgrow', 'Chlorophyll']",2,,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,405,62,5120,70,405,45,Seed Pokémon,63,1059860,1,60,Ivysaur,88.1,2,80,80,60,grass,poison,13,1,0
"['Overgrow', 'Chlorophyll']",2,,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,625,100,5120,70,625,45,Seed Pokémon,123,1059860,2,80,Venusaur,88.1,3,122,120,80,grass,poison,100,1,0
"['Blaze', 'Solar Power']",2,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,309,52,5120,70,309,45,Lizard Pokémon,43,1059860,0.6,39,Charmander,88.1,4,60,50,65,fire,,8.5,1,0
"['Blaze', 'Solar Power']",2,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,405,64,5120,70,405,45,Flame Pokémon,58,1059860,1.1,58,Charmeleon,88.1,5,80,65,80,fire,,19,1,0
"['Blaze', 'Solar Power']",2,,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,634,104,5120,70,634,45,Flame Pokémon,78,1059860,1.7,78,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0
"['Torrent', 'Rain Dish']",2,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,314,48,5120,70,314,45,Tiny Turtle Pokémon,65,1059860,0.5,44,Squirtle,88.1,7,50,64,43,water,,9,1,0
"['Torrent', 'Rain Dish']",2,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,405,63,5120,70,405,45,Turtle Pokémon,80,1059860,1,59,Wartortle,88.1,8,65,80,58,water,,22.5,1,0
"['Torrent', 'Rain Dish']",2,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,630,103,5120,70,630,45,Shellfish Pokémon,120,1059860,1.6,79,Blastoise,88.1,9,135,115,78,water,,85.5,1,0
"['Shield Dust', 'Run Away']",2,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,195,30,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,Caterpie,50,10,20,20,45,bug,,2.9,1,0
['Shed Skin'],1,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,205,20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Metapod,50,11,25,25,30,bug,,9.9,1,0
"['Compoundeyes', 'Tinted Lens']",2,,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,395,45,3840,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,Butterfree,50,12,90,80,70,bug,flying,32,1,0
"['Shield Dust', 'Run Away']",2,,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,195,35,3840,70,195,255,Hairy Pokémon,30,1000000,0.3,40,Weedle,50,13,20,20,50,bug,poison,3.2,1,0
['Shed Skin'],1,,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,205,25,3840,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,Kakuna,50,14,25,25,35,bug,poison,10,1,0
"['Swarm', 'Sniper']",2,,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,495,150,3840,70,495,45,Poison Bee Pokémon,40,1000000,1,65,Beedrill,50,15,15,80,145,bug,poison,29.5,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",3,,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,251,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,Pidgey,50,16,35,35,56,normal,flying,1.8,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",3,,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,349,60,3840,70,349,120,Bird Pokémon,55,1059860,1.1,63,Pidgeotto,50,17,50,50,71,normal,flying,30,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",3,,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,579,80,3840,70,579,45,Bird Pokémon,80,1059860,1.5,83,Pidgeot,50,18,135,80,121,normal,flying,39.5,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",6,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,253,56,3840,70,253,255,Mouse Pokémon,35,1000000,,30,Rattata,50,19,25,35,72,normal,dark,,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",6,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,413,71,3840,70,413,127,Mouse Pokémon,70,1000000,,75,Raticate,50,20,40,80,77,normal,dark,,1,0
"['Keen Eye', 'Sniper']",2,,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,262,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,Spearow,50,21,31,31,70,normal,flying,2,1,0
"['Keen Eye', 'Sniper']",2,,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,442,90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,Fearow,50,22,61,61,100,normal,flying,38,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",3,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,288,60,5120,70,288,255,Snake Pokémon,44,1000000,2,35,Ekans,50,23,40,54,55,poison,,6.9,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",3,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,448,95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,Arbok,50,24,65,79,80,poison,,65,1,0
"['Static', 'Lightningrod']",2,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,320,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachu,50,25,50,50,90,electric,,6,1,0
"['Static', 'Lightningrod', 'Surge Surfer']",3,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,485,85,2560,70,485,75,Mouse Pokémon,50,1000000,,60,Raichu,50,26,95,85,110,electric,electric,,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",4,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,300,75,5120,70,300,255,Mouse Pokémon,90,1000000,,50,Sandshrew,50,27,10,35,40,ground,ice,,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",4,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,450,100,5120,70,450,90,Mouse Pokémon,120,1000000,,75,Sandslash,50,28,25,65,65,ground,ice,,1,0
"['Poison Point', 'Rivalry', 'Hustle']",3,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,275,47,5120,70,275,235,Poison Pin Pokémon,52,1059860,0.4,55,Nidoran♀,0,29,40,40,41,poison,,7,1,0
"['Poison Point', 'Rivalry', 'Hustle']",3,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,365,62,5120,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,Nidorina,0,30,55,55,56,poison,,20,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",3,,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,505,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueen,0,31,75,85,76,poison,ground,60,1,0
"['Poison Point', 'Rivalry', 'Hustle']",3,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,273,57,5120,70,273,235,Poison Pin Pokémon,40,1059860,0.5,46,Nidoran♂,100,32,40,40,50,poison,,9,1,0
"['Poison Point', 'Rivalry', 'Hustle']",3,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,365,72,5120,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,Nidorino,100,33,55,55,65,poison,,19.5,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",3,,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,505,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidoking,100,34,85,75,85,poison,ground,62,1,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",3,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,323,45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0
"['Cute Charm', 'Magic Guard', 'Unaware']",3,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,483,70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,Clefable,24.6,36,95,90,60,fairy,,40,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",4,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,299,41,5120,70,299,190,Fox Pokémon,40,1000000,,38,Vulpix,24.6,37,50,65,65,fire,ice,,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",4,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,505,67,5120,70,505,75,Fox Pokémon,75,1000000,,73,Ninetales,24.6,38,81,100,109,fire,ice,,1,0
"['Cute Charm', 'Competitive', 'Friend Guard']",3,,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,270,45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0
"['Cute Charm', 'Competitive', 'Frisk']",3,,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,435,70,2560,70,435,50,Balloon Pokémon,45,800000,1,140,Wigglytuff,24.6,40,85,50,45,normal,fairy,12,1,0
"['Inner Focus', 'Infiltrator']",2,,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,245,45,3840,70,245,255,Bat Pokémon,35,1000000,0.8,40,Zubat,50,41,30,40,55,poison,flying,7.5,1,0
"['Inner Focus', 'Infiltrator']",2,,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,455,80,3840,70,455,90,Bat Pokémon,70,1000000,1.6,75,Golbat,50,42,65,75,90,poison,flying,55,1,0
"['Chlorophyll', 'Run Away']",2,,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,320,50,5120,70,320,255,Weed Pokémon,55,1059860,0.5,45,Oddish,50,43,75,65,30,grass,poison,5.4,1,0
"['Chlorophyll', 'Stench']",2,,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,395,65,5120,70,395,120,Weed Pokémon,70,1059860,0.8,60,Gloom,50,44,85,75,40,grass,poison,8.6,1,0
"['Chlorophyll', 'Effect Spore']",2,,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,490,80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,Vileplume,50,45,110,90,50,grass,poison,18.6,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",3,,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,285,70,5120,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,Paras,50,46,45,55,25,bug,grass,5.4,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",3,,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,405,95,5120,70,405,75,Mushroom Pokémon,80,1000000,1,60,Parasect,50,47,60,80,30,bug,grass,29.5,1,0
"['Compoundeyes', 'Tinted Lens', 'Run Away']",3,,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,305,55,5120,70,305,190,Insect Pokémon,50,1000000,1,60,Venonat,50,48,40,55,45,bug,poison,30,1,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",3,,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,450,65,5120,70,450,75,Poison Moth Pokémon,60,1000000,1.5,70,Venomoth,50,49,90,75,90,bug,poison,12.5,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",6,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,265,55,5120,70,265,255,Mole Pokémon,30,1000000,,10,Diglett,50,50,35,45,90,ground,ground,,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",6,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,425,100,5120,70,425,50,Mole Pokémon,60,1000000,,35,Dugtrio,50,51,50,70,110,ground,ground,,1,0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",6,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,290,35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,,40,Meowth,50,52,50,40,90,normal,dark,,1,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",6,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,440,60,5120,70,440,90,Classy Cat Pokémon,60,1000000,,65,Persian,50,53,75,65,115,normal,dark,,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",3,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,320,52,5120,70,320,190,Duck Pokémon,48,1000000,0.8,50,Psyduck,50,54,65,50,55,water,,19.6,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",3,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,500,82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,Golduck,50,55,95,80,85,water,,76.6,1,0
